County Name,Census Tract,# Extremely Hot Days
Adams,53001950100,1
Adams,53001950200,1
Adams,53001950300,1
Adams,53001950400,1
Adams,53001950500,1
Asotin,53003960100,2
Asotin,53003960200,1
Asotin,53003960300,2
Asotin,53003960400,2
Asotin,53003960500,2
Asotin,53003960600,2
Benton,53005010100,1
Benton,53005010201,1
Benton,53005010202,1
Benton,53005010300,1
Benton,53005010400,1
Benton,53005010500,1
Benton,53005010600,1
Benton,53005010701,1
Benton,53005010703,1
Benton,53005010705,1
Benton,53005010707,1
Benton,53005010708,1
Benton,53005010803,1
Benton,53005010805,1
Benton,53005010807,1
Benton,53005010809,1
Benton,53005010810,1
Benton,53005010811,1
Benton,53005010813,1
Benton,53005010814,1
Benton,53005010901,1
Benton,53005010902,1
Benton,53005011001,1
Benton,53005011002,1
Benton,53005011100,1
Benton,53005011200,1
Benton,53005011300,1
Benton,53005011401,1
Benton,53005011402,1
Benton,53005011501,1
Benton,53005011503,1
Benton,53005011504,1
Benton,53005011600,2
Benton,53005011700,1
Benton,53005011800,1
Benton,53005011900,1
Benton,53005012000,1
Chelan,53007960100,2
Chelan,53007960200,3
Chelan,53007960300,2
Chelan,53007960400,2
Chelan,53007960500,2
Chelan,53007960600,2
Chelan,53007960700,2
Chelan,53007960801,2
Chelan,53007960802,2
Chelan,53007961000,2
Chelan,53007961100,2
Chelan,53007961200,2
Chelan,53007961301,2
Chelan,53007961302,2
Clallam,53009000200,3
Clallam,53009000300,3
Clallam,53009000400,3
Clallam,53009000600,4
Clallam,53009000700,4
Clallam,53009000800,4
Clallam,53009000900,4
Clallam,53009001000,4
Clallam,53009001100,4
Clallam,53009001200,4
Clallam,53009001300,4
Clallam,53009001400,4
Clallam,53009001500,4
Clallam,53009001600,4
Clallam,53009001700,4
Clallam,53009001800,4
Clallam,53009001900,4
Clallam,53009002000,4
Clallam,53009002100,4
Clallam,53009002300,4
Clallam,53009940000,3
Clallam,53009990100,4
Clark,53011040101,4
Clark,53011040102,4
Clark,53011040201,4
Clark,53011040202,4
Clark,53011040203,4
Clark,53011040301,4
Clark,53011040302,4
Clark,53011040403,4
Clark,53011040407,4
Clark,53011040408,4
Clark,53011040409,4
Clark,53011040411,4
Clark,53011040412,4
Clark,53011040413,4
Clark,53011040414,4
Clark,53011040415,4
Clark,53011040416,4
Clark,53011040504,3
Clark,53011040505,4
Clark,53011040507,3
Clark,53011040508,3
Clark,53011040509,3
Clark,53011040510,3
Clark,53011040511,3
Clark,53011040603,3
Clark,53011040604,3
Clark,53011040605,3
Clark,53011040608,3
Clark,53011040609,3
Clark,53011040610,3
Clark,53011040703,4
Clark,53011040706,4
Clark,53011040707,4
Clark,53011040709,4
Clark,53011040710,4
Clark,53011040711,4
Clark,53011040712,4
Clark,53011040803,4
Clark,53011040805,4
Clark,53011040806,4
Clark,53011040808,4
Clark,53011040809,4
Clark,53011040810,4
Clark,53011040904,4
Clark,53011040905,4
Clark,53011040907,4
Clark,53011040908,4
Clark,53011040909,4
Clark,53011040910,4
Clark,53011041003,4
Clark,53011041005,4
Clark,53011041007,4
Clark,53011041008,4
Clark,53011041009,4
Clark,53011041010,4
Clark,53011041011,4
Clark,53011041104,4
Clark,53011041105,4
Clark,53011041107,4
Clark,53011041108,4
Clark,53011041110,4
Clark,53011041111,4
Clark,53011041112,4
Clark,53011041201,4
Clark,53011041203,4
Clark,53011041205,4
Clark,53011041206,4
Clark,53011041309,4
Clark,53011041310,4
Clark,53011041312,4
Clark,53011041313,4
Clark,53011041317,4
Clark,53011041318,4
Clark,53011041319,4
Clark,53011041320,4
Clark,53011041321,4
Clark,53011041322,4
Clark,53011041323,4
Clark,53011041325,3
Clark,53011041326,4
Clark,53011041327,4
Clark,53011041328,3
Clark,53011041329,4
Clark,53011041330,4
Clark,53011041331,4
Clark,53011041332,4
Clark,53011041333,4
Clark,53011041400,3
Clark,53011041500,3
Clark,53011041600,4
Clark,53011041700,4
