County Name,Census Tract,# Extremely Hot Days
n/a,State Total,--
Adams,53001950100,3
Adams,53001950200,3
Adams,53001950300,2
Adams,53001950400,1
Adams,53001950500,1
Asotin,53003960100,4
Asotin,53003960200,4
Asotin,53003960300,4
Asotin,53003960400,4
Asotin,53003960500,4
Asotin,53003960600,4
Benton,53005010100,2
Benton,53005010201,2
Benton,53005010202,2
Benton,53005010300,2
Benton,53005010400,2
Benton,53005010500,2
Benton,53005010600,2
Benton,53005010701,3
Benton,53005010703,2
Benton,53005010705,2
Benton,53005010707,2
Benton,53005010708,2
Benton,53005010803,2
Benton,53005010805,2
Benton,53005010807,3
Benton,53005010809,2
Benton,53005010810,2
Benton,53005010811,2
Benton,53005010813,2
Benton,53005010814,2
Benton,53005010901,2
Benton,53005010902,2
Benton,53005011001,2
Benton,53005011002,2
Benton,53005011100,2
Benton,53005011200,2
Benton,53005011300,2
Benton,53005011401,2
Benton,53005011402,2
Benton,53005011501,2
Benton,53005011503,2
Benton,53005011504,2
Benton,53005011600,3
Benton,53005011700,3
Benton,53005011800,3
Benton,53005011900,3
Benton,53005012000,3
Chelan,53007960100,4
Chelan,53007960200,3
Chelan,53007960300,4
Chelan,53007960400,4
Chelan,53007960500,4
Chelan,53007960600,4
Chelan,53007960700,4
Chelan,53007960801,4
Chelan,53007960802,4
Chelan,53007961000,4
Chelan,53007961100,4
Chelan,53007961200,4
Chelan,53007961301,4
Chelan,53007961302,4
Clallam,53009000200,1
Clallam,53009000300,1
Clallam,53009000400,1
Clallam,53009000600,1
Clallam,53009000700,1
Clallam,53009000800,1
Clallam,53009000900,1
Clallam,53009001000,1
Clallam,53009001100,1
Clallam,53009001200,1
Clallam,53009001300,1
Clallam,53009001400,1
Clallam,53009001500,1
Clallam,53009001600,1
Clallam,53009001700,1
Clallam,53009001800,1
Clallam,53009001900,1
Clallam,53009002000,1
Clallam,53009002100,1
Clallam,53009002300,1
Clallam,53009940000,1
Clallam,53009990100,1
Clark,53011040101,1
Clark,53011040102,1
Clark,53011040201,1
Clark,53011040202,1
Clark,53011040203,1
Clark,53011040301,1
Clark,53011040302,1
Clark,53011040403,1
Clark,53011040407,1
Clark,53011040408,1
Clark,53011040409,1
Clark,53011040411,1
Clark,53011040412,1
Clark,53011040413,1
Clark,53011040414,1
Clark,53011040415,1
Clark,53011040416,1
Clark,53011040504,1
Clark,53011040505,1
Clark,53011040507,1
Clark,53011040508,1
Clark,53011040509,1
Clark,53011040510,1
Clark,53011040511,1
Clark,53011040603,1
Clark,53011040604,1
Clark,53011040605,1
Clark,53011040608,1
Clark,53011040609,1
Clark,53011040610,1
Clark,53011040703,1
Clark,53011040706,1
Clark,53011040707,1
Clark,53011040709,1
Clark,53011040710,1
Clark,53011040711,1
Clark,53011040712,1
Clark,53011040803,1
Clark,53011040805,1
Clark,53011040806,1
Clark,53011040808,1
Clark,53011040809,1
Clark,53011040810,1
Clark,53011040904,1
Clark,53011040905,1
Clark,53011040907,1
Clark,53011040908,1
Clark,53011040909,1
Clark,53011040910,1
Clark,53011041003,1
Clark,53011041005,1
Clark,53011041007,1
Clark,53011041008,1
Clark,53011041009,1
Clark,53011041010,1
Clark,53011041011,1
Clark,53011041104,1
Clark,53011041105,1
Clark,53011041107,1
Clark,53011041108,1
Clark,53011041110,1
Clark,53011041111,1
Clark,53011041112,1
Clark,53011041201,1
Clark,53011041203,1
Clark,53011041205,1
Clark,53011041206,1
Clark,53011041309,1
Clark,53011041310,1
Clark,53011041312,1
Clark,53011041313,1
Clark,53011041317,1
Clark,53011041318,1
Clark,53011041319,1
Clark,53011041320,1
Clark,53011041321,1
Clark,53011041322,1
Clark,53011041323,1
Clark,53011041325,1
Clark,53011041326,1
Clark,53011041327,1
Clark,53011041328,1
Clark,53011041329,1
Clark,53011041330,1
Clark,53011041331,1
Clark,53011041332,1
Clark,53011041333,1
Clark,53011041400,1
Clark,53011041500,1
Clark,53011041600,1
Clark,53011041700,1
Clark,53011041800,1
Clark,53011041900,1
Clark,53011042000,1
Clark,53011042100,1
Clark,53011042300,1
Clark,53011042400,1
Clark,53011042500,1
Clark,53011042600,1
Clark,53011042700,1
Clark,53011042800,1
Clark,53011042900,1
Clark,53011043000,1
Clark,53011043100,1
Columbia,53013960200,3
Cowlitz,53015000300,1
Cowlitz,53015000400,1
Cowlitz,53015000501,1
Cowlitz,53015000502,1
Cowlitz,53015000601,1
Cowlitz,53015000602,1
Cowlitz,53015000702,1
Cowlitz,53015000703,1
Cowlitz,53015000704,1
Cowlitz,53015000800,1
Cowlitz,53015000900,1
Cowlitz,53015001000,1
Cowlitz,53015001100,1
Cowlitz,53015001200,1
Cowlitz,53015001300,1
Cowlitz,53015001501,1
Cowlitz,53015001502,1
Cowlitz,53015001600,1
Cowlitz,53015001700,1
Cowlitz,53015001800,1
Cowlitz,53015001900,1
Cowlitz,53015002001,1
Cowlitz,53015002002,1
Cowlitz,53015002100,1
Douglas,53017950100,3
Douglas,53017950200,3
Douglas,53017950300,4
Douglas,53017950400,4
Douglas,53017950500,4
Douglas,53017950600,4
Douglas,53017950700,4
Douglas,53017950800,4
Ferry,53019940000,3
Ferry,53019970100,4
Ferry,53019970200,3
Franklin,53021020100,2
Franklin,53021020200,2
Franklin,53021020300,2
Franklin,53021020400,2
Franklin,53021020501,2
Franklin,53021020502,2
Franklin,53021020601,2
Franklin,53021020603,2
Franklin,53021020605,2
Franklin,53021020606,2
Franklin,53021020700,2
Franklin,53021020800,2
Franklin,53021980100,2
Garfield,53023970300,4
Grant,53025010100,2
Grant,53025010200,2
Grant,53025010300,2
Grant,53025010400,2
Grant,53025010500,3
Grant,53025010600,3
Grant,53025010700,2
Grant,53025010800,2
Grant,53025010901,2
Grant,53025010902,2
Grant,53025011000,2
Grant,53025011100,2
Grant,53025011200,2
Grant,53025011300,2
Grant,53025011401,2
Grant,53025011402,3
Grays Harbor,53027000200,2
Grays Harbor,53027000300,2
Grays Harbor,53027000400,2
Grays Harbor,53027000500,2
Grays Harbor,53027000600,2
Grays Harbor,53027000700,2
Grays Harbor,53027000800,2
Grays Harbor,53027000900,2
Grays Harbor,53027001000,2
Grays Harbor,53027001100,2
Grays Harbor,53027001200,2
Grays Harbor,53027001300,2
Grays Harbor,53027001400,2
Grays Harbor,53027001500,2
Grays Harbor,53027001600,2
Grays Harbor,53027940000,2
Island,53029970100,1
Island,53029970200,1
Island,53029970300,1
Island,53029970400,1
Island,53029970500,1
Island,53029970601,1
Island,53029970602,1
Island,53029970700,1
Island,53029970800,1
Island,53029970900,1
Island,53029971000,1
Island,53029971100,1
Island,53029971300,1
Island,53029971400,1
Island,53029971500,1
Island,53029971600,1
Island,53029971700,1
Island,53029971800,1
Island,53029971900,1
Island,53029972000,1
Island,53029972100,1
Jefferson,53031950202,1
Jefferson,53031950300,1
Jefferson,53031950400,1
Jefferson,53031950500,1
Jefferson,53031950601,1
Jefferson,53031950602,1
Jefferson,53031950702,1
King,53033000100,1
King,53033000200,1
King,53033000300,1
King,53033000401,1
King,53033000402,1
King,53033000500,1
King,53033000600,1
King,53033000700,1
King,53033000800,1
King,53033000900,1
King,53033001000,1
King,53033001100,1
King,53033001200,1
King,53033001300,1
King,53033001400,1
King,53033001500,1
King,53033001600,1
King,53033001701,1
King,53033001702,1
King,53033001800,1
King,53033001900,1
King,53033002000,1
King,53033002100,1
King,53033002200,1
King,53033002400,1
King,53033002500,1
King,53033002600,1
King,53033002700,1
King,53033002800,1
King,53033002900,1
King,53033003000,1
King,53033003100,1
King,53033003200,1
King,53033003300,1
King,53033003400,1
King,53033003500,1
King,53033003600,1
King,53033003800,1
King,53033003900,1
King,53033004000,1
King,53033004100,1
King,53033004200,1
King,53033004301,1
King,53033004302,1
King,53033004400,1
King,53033004500,1
King,53033004600,1
King,53033004700,1
King,53033004800,1
King,53033004900,1
King,53033005000,1
King,53033005100,1
King,53033005200,1
King,53033005301,1
King,53033005302,1
King,53033005400,1
King,53033005600,1
King,53033005700,1
King,53033005801,1
King,53033005802,1
King,53033005900,1
King,53033006000,1
King,53033006100,1
King,53033006200,1
King,53033006300,1
King,53033006400,1
King,53033006500,1
King,53033006600,1
King,53033006700,1
King,53033006800,1
King,53033006900,1
King,53033007000,1
King,53033007100,1
King,53033007200,1
King,53033007300,1
King,53033007401,1
King,53033007402,1
King,53033007500,1
King,53033007600,1
King,53033007700,1
King,53033007800,1
King,53033007900,1
King,53033008001,1
King,53033008002,1
King,53033008100,1
King,53033008200,1
King,53033008300,1
King,53033008400,1
King,53033008500,1
King,53033008600,1
King,53033008700,1
King,53033008800,1
King,53033008900,1
King,53033009000,1
King,53033009100,1
King,53033009200,1
King,53033009300,1
King,53033009400,1
King,53033009500,1
King,53033009600,1
King,53033009701,1
King,53033009702,1
King,53033009800,1
King,53033009900,1
King,53033010001,1
King,53033010002,1
King,53033010100,1
King,53033010200,1
King,53033010300,1
King,53033010401,1
King,53033010402,1
King,53033010500,1
King,53033010600,1
King,53033010701,1
King,53033010702,1
King,53033010800,1
King,53033010900,1
King,53033011001,1
King,53033011002,1
King,53033011101,1
King,53033011102,1
King,53033011200,1
King,53033011300,1
King,53033011401,1
King,53033011402,1
King,53033011500,1
King,53033011600,1
King,53033011700,1
King,53033011800,1
King,53033011900,1
King,53033012000,1
King,53033012100,1
King,53033020100,1
King,53033020200,1
King,53033020300,1
King,53033020401,1
King,53033020402,1
King,53033020500,1
King,53033020600,1
King,53033020700,1
King,53033020800,1
King,53033020900,1
King,53033021000,1
King,53033021100,1
King,53033021300,1
King,53033021400,1
King,53033021500,1
King,53033021600,1
King,53033021700,1
King,53033021802,1
King,53033021803,1
King,53033021804,1
King,53033021903,1
King,53033021904,1
King,53033021905,1
King,53033021906,1
King,53033022001,1
King,53033022003,1
King,53033022005,1
King,53033022006,1
King,53033022101,1
King,53033022102,1
King,53033022201,1
King,53033022202,1
King,53033022203,1
King,53033022300,1
King,53033022400,1
King,53033022500,1
King,53033022603,1
King,53033022604,1
King,53033022605,1
King,53033022606,1
King,53033022701,1
King,53033022702,1
King,53033022703,1
King,53033022801,1
King,53033022802,1
King,53033022803,1
King,53033022901,1
King,53033022902,1
King,53033023000,1
King,53033023100,1
King,53033023201,1
King,53033023202,1
King,53033023300,1
King,53033023401,1
King,53033023403,1
King,53033023404,1
King,53033023500,1
King,53033023601,1
King,53033023603,1
King,53033023604,1
King,53033023700,1
King,53033023801,1
King,53033023803,1
King,53033023804,1
King,53033023900,1
King,53033024000,1
King,53033024100,1
King,53033024200,1
King,53033024300,1
King,53033024400,1
King,53033024500,1
King,53033024601,1
King,53033024602,1
King,53033024701,1
King,53033024702,1
King,53033024800,1
King,53033024901,1
King,53033024902,1
King,53033024903,1
King,53033025001,1
King,53033025003,1
King,53033025005,1
King,53033025006,1
King,53033025101,1
King,53033025102,1
King,53033025200,1
King,53033025301,1
King,53033025302,1
King,53033025400,1
King,53033025500,1
King,53033025601,1
King,53033025602,1
King,53033025701,1
King,53033025702,1
King,53033025803,1
King,53033025804,1
King,53033025805,1
King,53033025806,1
King,53033026001,1
King,53033026002,1
King,53033026100,1
King,53033026200,1
King,53033026300,1
King,53033026400,1
King,53033026500,1
King,53033026600,1
King,53033026700,1
King,53033026801,1
King,53033026802,1
King,53033027000,1
King,53033027100,1
King,53033027200,1
King,53033027300,1
King,53033027400,1
King,53033027500,1
King,53033027600,1
King,53033027701,1
King,53033027702,1
King,53033027800,1
King,53033027900,1
King,53033028000,1
King,53033028100,1
King,53033028200,1
King,53033028300,1
King,53033028402,1
King,53033028403,1
King,53033028500,1
King,53033028600,1
King,53033028700,1
King,53033028801,1
King,53033028802,1
King,53033028901,1
King,53033028902,1
King,53033029001,1
King,53033029003,1
King,53033029004,1
King,53033029101,1
King,53033029102,1
King,53033029203,1
King,53033029204,1
King,53033029205,1
King,53033029206,1
King,53033029303,1
King,53033029304,1
King,53033029305,1
King,53033029306,1
King,53033029307,1
King,53033029403,1
King,53033029405,1
King,53033029406,1
King,53033029407,1
King,53033029408,1
King,53033029502,1
King,53033029503,1
King,53033029504,1
King,53033029601,1
King,53033029602,1
King,53033029700,1
King,53033029801,1
King,53033029802,1
King,53033029901,1
King,53033029902,1
King,53033030003,1
King,53033030004,1
King,53033030005,1
King,53033030006,1
King,53033030100,1
King,53033030201,1
King,53033030202,1
King,53033030304,1
King,53033030305,1
King,53033030306,1
King,53033030308,1
King,53033030309,1
King,53033030310,1
King,53033030311,1
King,53033030312,1
King,53033030313,1
King,53033030314,1
King,53033030401,1
King,53033030403,1
King,53033030404,1
King,53033030501,1
King,53033030503,1
King,53033030504,1
King,53033030600,1
King,53033030700,1
King,53033030801,1
King,53033030802,1
King,53033030901,1
King,53033030902,1
King,53033031000,1
King,53033031100,1
King,53033031202,1
King,53033031204,1
King,53033031205,1
King,53033031206,1
King,53033031301,1
King,53033031302,1
King,53033031400,1
King,53033031501,1
King,53033031502,1
King,53033031601,1
King,53033031603,1
King,53033031604,1
King,53033031605,1
King,53033031703,1
King,53033031704,1
King,53033031705,1
King,53033031706,1
King,53033031800,1
King,53033031903,1
King,53033031904,1
King,53033031906,1
King,53033031907,1
King,53033031908,1
King,53033031909,1
King,53033032002,1
King,53033032003,1
King,53033032005,1
King,53033032006,1
King,53033032007,1
King,53033032008,1
King,53033032010,1
King,53033032011,1
King,53033032102,1
King,53033032103,1
King,53033032104,1
King,53033032203,1
King,53033032207,1
King,53033032208,1
King,53033032210,1
King,53033032211,1
King,53033032212,1
King,53033032213,1
King,53033032214,1
King,53033032215,1
King,53033032307,1
King,53033032309,1
King,53033032311,1
King,53033032313,1
King,53033032315,1
King,53033032316,1
King,53033032317,1
King,53033032318,1
King,53033032319,1
King,53033032320,1
King,53033032321,1
King,53033032322,1
King,53033032323,1
King,53033032324,1
King,53033032325,1
King,53033032326,1
King,53033032327,1
King,53033032328,1
King,53033032329,1
King,53033032401,1
King,53033032402,1
King,53033032500,1
King,53033032601,1
King,53033032602,1
King,53033032702,1
King,53033032703,1
King,53033032704,1
King,53033032800,1
Kitsap,53035080101,1
Kitsap,53035080102,1
Kitsap,53035080200,1
Kitsap,53035080300,1
Kitsap,53035080400,1
Kitsap,53035080500,1
Kitsap,53035080600,1
Kitsap,53035080700,1
Kitsap,53035080800,1
Kitsap,53035080900,1
Kitsap,53035081000,1
Kitsap,53035081100,1
Kitsap,53035081200,1
Kitsap,53035081400,1
Kitsap,53035090101,1
Kitsap,53035090102,1
Kitsap,53035090201,1
Kitsap,53035090202,1
Kitsap,53035090300,1
Kitsap,53035090400,1
Kitsap,53035090501,1
Kitsap,53035090502,1
Kitsap,53035090700,1
Kitsap,53035090800,1
Kitsap,53035090900,1
Kitsap,53035091000,1
Kitsap,53035091100,1
Kitsap,53035091201,1
Kitsap,53035091203,1
Kitsap,53035091204,1
Kitsap,53035091301,1
Kitsap,53035091302,1
Kitsap,53035091400,1
Kitsap,53035091500,1
Kitsap,53035091600,1
Kitsap,53035091700,1
Kitsap,53035091800,1
Kitsap,53035091900,1
Kitsap,53035092000,1
Kitsap,53035092100,1
Kitsap,53035092200,1
Kitsap,53035092300,1
Kitsap,53035092400,1
Kitsap,53035092500,1
Kitsap,53035092600,1
Kitsap,53035092701,1
Kitsap,53035092704,1
Kitsap,53035092801,1
Kitsap,53035092802,1
Kitsap,53035092803,1
Kitsap,53035092901,1
Kitsap,53035092902,1
Kitsap,53035940000,1
Kitsap,53035940100,1
Kittitas,53037975100,2
Kittitas,53037975200,3
Kittitas,53037975300,4
Kittitas,53037975401,4
Kittitas,53037975402,4
Kittitas,53037975500,4
Kittitas,53037975600,4
Kittitas,53037975700,4
Klickitat,53039950100,4
Klickitat,53039950200,3
Klickitat,53039950300,2
Lewis,53041970100,1
Lewis,53041970200,1
Lewis,53041970300,1
Lewis,53041970400,1
Lewis,53041970500,1
Lewis,53041970600,1
Lewis,53041970700,1
Lewis,53041970800,1
Lewis,53041970900,1
Lewis,53041971000,1
Lewis,53041971100,1
Lewis,53041971200,1
Lewis,53041971300,1
Lewis,53041971400,1
Lewis,53041971500,1
Lewis,53041971600,1
Lewis,53041971700,1
Lewis,53041971800,1
Lewis,53041971900,1
Lewis,53041972000,1
Lincoln,53043960100,4
Lincoln,53043960200,4
Lincoln,53043960300,3
Lincoln,53043960400,4
