"County","# of Fires","Acres Burned","Percent Area Burned"
"State Total","22","78406","0.18"
"Adams","0","0","0"
"Asotin","0","0","0"
"Benton","1","1266","0.11"
"Chelan","9","25807","1.35"
"Clallam","0","0","0"
"Clark","0","0","0"
"Columbia","0","0","0"
"Cowlitz","0","0","0"
"Douglas","1","5","0"
"Ferry","1","647","0.04"
"Franklin","0","0","0"
"Garfield","0","0","0"
"Grant","1","7664","0.43"
"Grays Harbor","0","0","0"
"Island","0","0","0"
"Jefferson","1","385","0.03"
"King","0","0","0"
"Kitsap","0","0","0"
"Kittitas","0","0","0"
"Klickitat","2","3197","0.26"
"Lewis","0","0","0"
"Lincoln","0","0","0"
"Mason","0","0","0"
"Okanogan","1","408","0.01"
"Pacific","0","0","0"
"Pend Oreille","0","0","0"
"Pierce","0","0","0"
"San Juan","0","0","0"
"Skagit","0","0","0"
"Skamania","0","0","0"
"Snohomish","0","0","0"
"Spokane","0","0","0"
"Stevens","2","1900","0.12"
"Thurston","0","0","0"
"Wahkiakum","0","0","0"
"Walla Walla","1","20835","2.51"
"Whatcom","0","0","0"
"Whitman","0","0","0"
"Yakima","2","16291","0.59"


"Wildfires"
"Geography: County, Year: 2010"
"Created: 12/1/2020"

"""**"" indicates data suppression to protect confidentiality."

"""--"" indicates no data collected."

"""NR"" indicates data are not reliable."
