
County Name	# Extremely Hot Days	# of Fires
0	Adams	0.480000	0.2
1	Asotin	0.766667	0.6
2	Benton	0.605405	0.8
3	Chelan	1.028571	7.6
4	Clallam	1.600000	0.0
5	Clark	1.169231	0.0
6	Columbia	0.600000	0.0
7	Cowlitz	1.216667	0.0
8	Douglas	0.900000	1.2
9	Ferry	0.333333	2.2
10	Franklin	0.600000	0.2
11	Garfield	0.600000	0.2
12	Grant	0.600000	1.0
13	Grays Harbor	1.200000	0.0
14	Island	1.885714	0.0
15	Jefferson	1.571429	0.4
16	King	1.312846	0.0
17	Kitsap	1.274074	0.0
18	Kittitas	0.750000	4.0
19	Klickitat	0.933333	2.4
20	Lewis	1.390000	0.4
21	Lincoln	0.350000	0.4
22	Mason	1.314286	0.2
23	Okanogan	0.920000	6.4
24	Pacific	1.257143	0.0
25	Pend Oreille	0.440000	0.0
26	Pierce	1.365116	0.0
27	San Juan	2.160000	0.0
28	Skagit	1.966667	0.0
29	Skamania	1.000000	0.2
30	Snohomish	1.421333	0.2
31	Spokane	0.502857	0.0
32	Stevens	0.350000	0.4
33	Thurston	1.400000	0.0
34	Wahkiakum	1.400000	0.0
35	Walla Walla	0.600000	0.4
36	Whatcom	1.976471	0.6
37	Whitman	0.700000	0.0
38	Yakima	0.657778	3.0
